Rhomaleosaurus,Seeley,1871,Valid,,
Scanisaurus,Persson,1959,Valid,,
Seeleyosaurus,White,1940,Valid,,
Simolestes,Andrews,1909,Valid,,
Sinopliosaurus,Young,1944,Valid,Early Cretaceous,
Spitrasaurus,"Knutsen, Druckenmiller, Hurum",2012,Valid,Late Jurassic,europe
Spondylosaurus,Fisher,1845,Jr synonym,,
Stratesaurus,"Benson, Evans, Druckenmiller",2012,Valid,Early Jurassic,europe
Sulcusuchus,"Gasparini, Spalletti",1992,Valid,Late Cretaceous,sa
Stereosaurus,Seeley,1869,Valid,,
Sthenarosaurus,Watson,1911,Valid,Early Jurassic,
Stretosaurus,Tarlo,1959,Nomen dubium,,
Strongylokrotaphus,Novozhilov,1964,Jr synonym,,
Styxosaurus,Welles,1952,Valid,Late Cretaceous,
Taphrosaurus,Cope,1870,Valid,Late Cretaceous,
Tatenectes,Knight,1900,Valid,,
Terminonatator,Sato,2003,Valid,Late Cretaceous,
Thalassiodracon,"Storrs, Taylor",1996,Valid,Late Triassic,
Thalassiosaurus,Welles,1953,Valid,,
Thalassomedon,Welles,1943,Valid,Late Cretaceous,
Thalassonomosaurus,Welles,1943,Jr synonym,,
Thaumatosaurus,Meyer,1841,Valid,,
Thililua,"Bardet, Suberbiola, Jalil",2003,Valid,Late Cretaceous,
Tremamesacleis,White,1940,Valid,Late Jurassic,
Tricleidus,Andrews,1909,Valid,,
Trinacromerum,Cragin,1888,Valid,Late Cretaceous,
Tuarangisaurus,"Wiffen, Moisley",1986,Valid,Late Cretaceous,
Umoonasaurus,"Kear, Schroeder, Lee",2006,Valid,Early Cretaceous,
Uronautes,Cope,1870,Valid,Late Cretaceous,
Vectocleidus,"Benson, et al.",2012,Valid,Early Cretaceous,europe
Vinialesaurus,"Gasparini, Bardet, Vinent, Iturralde",2002,Valid,Late Jurassic,
Westphaliasaurus,"Schwermann, Sander",2011,Valid,Early Jurassic,europe
Woolungasaurus,Persson,1960,Valid,Early Cretaceous,
Yuzhoupliosaurus,Zhang,1985,Valid,Mid Jurassic,
Zarafasaura,"Vincent, Pereda-Suberbiola, Bouya, Amaghzaz, Meslouh",2011,Valid,Late Cretaceous,africa
